City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
254,Straumen,NO,63.8709,11.2999,28.94,68,100,17.94,overcast clouds,2021-12-04 08:27:13
255,Urucuca,BR,-14.5931,-39.2844,69.93,99,99,1.43,overcast clouds,2021-12-04 08:27:13
256,Parabel,RU,58.6978,81.4825,24.67,82,100,13.67,overcast clouds,2021-12-04 08:27:14
257,Mogadishu,SO,2.0371,45.3438,85.87,70,75,16.11,broken clouds,2021-12-04 08:26:38
258,Camaqua,BR,-30.8511,-51.8122,66.79,84,94,7.65,overcast clouds,2021-12-04 08:27:14
259,Bondo,CD,3.8146,23.6866,84.76,57,93,2.28,overcast clouds,2021-12-04 08:27:14
260,Nueve De Julio,AR,-35.4444,-60.8831,58.71,97,100,7.29,overcast clouds,2021-12-04 08:27:15
261,Nizwa,OM,22.9333,57.5333,77.52,33,0,6.22,clear sky,2021-12-04 08:27:15
262,Monte Carmelo,BR,-18.7247,-47.4986,64.74,90,0,5.91,clear sky,2021-12-04 08:27:15
263,Santa Marinella,IT,42.0345,11.8536,47.55,58,55,1.81,broken clouds,2021-12-04 08:27:16
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.69,92,10,5.95,clear sky,2021-12-04 08:27:16
265,Skjervoy,NO,70.0311,20.9714,20.7,78,3,21.18,clear sky,2021-12-04 08:27:16
266,Mwinilunga,ZM,-11.7358,24.4293,83.17,37,40,8.3,scattered clouds,2021-12-04 08:27:17
267,Nurota,UZ,40.5614,65.6886,44.69,43,100,5.32,overcast clouds,2021-12-04 08:27:17
268,Ulundi,ZA,-28.3352,31.4162,78.55,66,100,4.74,overcast clouds,2021-12-04 08:27:17
269,Asha,RU,54.9973,57.2722,36.55,93,100,11.88,overcast clouds,2021-12-04 08:27:18
270,Kanniyakumari,IN,8.0833,77.5667,82.8,73,33,4.34,scattered clouds,2021-12-04 08:28:18
271,Dhar,IN,22.6,75.3,78.84,37,0,5.32,clear sky,2021-12-04 08:28:18
272,Keuruu,FI,62.2667,24.7,6.98,77,30,8.95,scattered clouds,2021-12-04 08:28:19
273,Torit,SS,4.4133,32.5678,92.89,30,18,3.96,few clouds,2021-12-04 08:28:19
274,Talnakh,RU,69.4865,88.3972,-27.8,97,100,10.18,overcast clouds,2021-12-04 08:28:19
275,Kolo,PL,52.2002,18.6387,34.25,71,100,14.52,overcast clouds,2021-12-04 08:28:20
276,Matara,LK,5.9485,80.5353,83.61,71,97,6.93,overcast clouds,2021-12-04 08:26:57
277,Miranda,CO,3.2499,-76.2281,66.33,92,94,3.04,overcast clouds,2021-12-04 08:28:20
278,Issa,RU,53.8705,44.8578,33.37,90,100,11.88,overcast clouds,2021-12-04 08:28:21
279,Lebu,CL,-37.6167,-73.65,50.63,92,9,14.94,clear sky,2021-12-04 08:28:21
280,Mbini,GQ,1.574,9.6134,79.48,78,100,4.29,overcast clouds,2021-12-04 08:28:21
281,Lethem,GY,3.3803,-59.7968,74.97,78,75,10.85,broken clouds,2021-12-04 08:28:22
282,San Ramon,US,37.7799,-121.978,54.48,89,90,1.01,mist,2021-12-04 08:28:22
283,Honningsvag,NO,70.9821,25.9704,25.52,67,59,20.54,broken clouds,2021-12-04 08:28:22
284,Tanout,NE,14.9709,8.8879,72.97,16,4,11.72,clear sky,2021-12-04 08:28:23
285,Qaqortoq,GL,60.7167,-46.0333,43.3,93,100,24.07,moderate rain,2021-12-04 08:28:23
286,Viedma,AR,-40.8135,-62.9967,51.42,71,45,6.17,scattered clouds,2021-12-04 08:28:23
287,Shu,KZ,43.5983,73.7614,54.25,45,100,2.24,overcast clouds,2021-12-04 08:28:24
288,Qax,AZ,41.4225,46.9242,43.79,45,6,2.04,clear sky,2021-12-04 08:28:24
289,Camacha,PT,33.0833,-16.3333,61.56,67,75,12.66,broken clouds,2021-12-04 08:28:24
290,Bulawayo,ZW,-20.15,28.5833,88.81,25,0,12.24,clear sky,2021-12-04 08:28:25
291,Kukushtan,RU,57.6464,56.4952,35.22,97,100,14.74,light rain,2021-12-04 08:28:25
292,Canutama,BR,-6.5339,-64.3831,73.22,99,100,1.77,overcast clouds,2021-12-04 08:28:25
293,Tabuk,PH,17.4189,121.4443,65.08,90,100,8.99,overcast clouds,2021-12-04 08:28:26
294,Arlit,NE,18.7369,7.3853,77.49,12,93,4.68,overcast clouds,2021-12-04 08:24:22
295,Keta,GH,5.9179,0.9879,84.42,74,72,3.96,broken clouds,2021-12-04 08:28:26
296,Beira,MZ,-19.8436,34.8389,91.49,62,20,17.27,few clouds,2021-12-04 08:28:26
297,Lekoni,GA,-1.5843,14.2591,77.67,77,85,6.02,overcast clouds,2021-12-04 08:28:27
298,Raga,SS,8.4596,25.678,88.66,19,21,8.46,few clouds,2021-12-04 08:28:27
299,Paso De Los Toros,UY,-32.8167,-56.5167,57.65,89,45,9.62,scattered clouds,2021-12-04 08:28:27
300,Leh,IN,34.1667,77.5833,28.65,61,3,1.81,clear sky,2021-12-04 08:28:28
301,Balkhash,KZ,46.844,74.9804,34.41,69,0,13.42,clear sky,2021-12-04 08:28:28
